Node,Time,Latency,Throughput,Battery
0,0.0014882087707519531,11,59,100
1,0.0014882087707519531,23,75,100
2,0.0014882087707519531,13,74,100
3,0.0014882087707519531,13,68,100
4,0.0014882087707519531,23,79,100
5,0.0014882087707519531,32,105,100
6,0.0014882087707519531,14,90,100
7,0.0014882087707519531,30,61,100
8,0.0014882087707519531,21,52,100
9,0.0014882087707519531,28,93,100
10,0.0014882087707519531,26,77,100
11,0.0014882087707519531,21,76,100
12,0.0014882087707519531,6,1005,100
0,5.0110697746276855,7,61,100
1,5.0110697746276855,9,45,60
2,5.0110697746276855,4,39,60
3,5.0110697746276855,12,58,100
4,5.0110697746276855,8,53,60
5,5.0110697746276855,15,48,50
6,5.0110697746276855,14,96,100
7,5.0110697746276855,13,35,50
8,5.0110697746276855,17,58,100
9,5.0110697746276855,12,52,60
10,5.0110697746276855,22,80,100
11,5.0110697746276855,4,29,36
12,5.0110697746276855,0,363,36
0,10.022476434707642,7,60,100
1,10.022476434707642,6,39,60
2,10.022476434707642,2,33,60
3,10.022476434707642,13,63,100
4,10.022476434707642,4,60,60
5,10.022476434707642,15,58,50
6,10.022476434707642,13,88,100
7,10.022476434707642,18,28,50
8,10.022476434707642,17,58,100
9,10.022476434707642,8,55,60
10,10.022476434707642,18,82,100
11,10.022476434707642,6,31,36
12,10.022476434707642,1,363,36
0,15.03158450126648,5,52,100
1,15.03158450126648,5,29,60
2,15.03158450126648,4,29,60
3,15.03158450126648,8,55,100
4,15.03158450126648,9,70,60
5,15.03158450126648,20,61,50
6,15.03158450126648,12,93,100
7,15.03158450126648,20,27,50
8,15.03158450126648,19,52,100
9,15.03158450126648,8,60,60
10,15.03158450126648,20,83,100
11,15.03158450126648,7,30,36
12,15.03158450126648,1,355,36
0,20.043174266815186,2,59,100
1,20.043174266815186,8,27,60
2,20.043174266815186,1,37,60
3,20.043174266815186,3,45,100
4,20.043174266815186,7,66,60
5,20.043174266815186,25,68,50
6,20.043174266815186,8,100,100
7,20.043174266815186,16,34,50
8,20.043174266815186,17,58,100
9,20.043174266815186,3,64,60
10,20.043174266815186,17,85,100
11,20.043174266815186,8,33,36
12,20.043174266815186,1,354,36
0,25.049413681030273,7,60,100
1,25.049413681030273,4,19,60
2,25.049413681030273,6,47,60
3,25.049413681030273,7,43,100
4,25.049413681030273,9,60,60
5,25.049413681030273,28,61,50
6,25.049413681030273,9,94,100
7,25.049413681030273,19,34,50
8,25.049413681030273,22,52,100
9,25.049413681030273,5,66,60
10,25.049413681030273,16,85,100
11,25.049413681030273,3,23,36
12,25.049413681030273,5,347,36
0,30.061859846115112,2,53,100
1,30.061859846115112,8,19,60
2,30.061859846115112,7,46,60
3,30.061859846115112,2,35,100
4,30.061859846115112,14,60,60
5,30.061859846115112,23,59,50
6,30.061859846115112,7,102,100
7,30.061859846115112,14,39,50
8,30.061859846115112,20,60,100
9,30.061859846115112,3,64,60
10,30.061859846115112,11,79,100
11,30.061859846115112,2,30,36
12,30.061859846115112,8,341,36
0,35.069945335388184,7,48,100
1,35.069945335388184,8,20,60
2,35.069945335388184,5,40,60
3,35.069945335388184,1,33,100
4,35.069945335388184,9,60,60
