Node,Time,Latency,Throughput,Battery
0,0.005984067916870117,10,50,100
1,0.005984067916870117,15,63,100
2,0.005984067916870117,43,102,100
3,0.005984067916870117,22,94,100
4,0.005984067916870117,30,52,100
5,0.005984067916870117,31,63,100
6,0.005984067916870117,25,84,100
7,0.005984067916870117,24,95,100
8,0.005984067916870117,29,74,100
9,0.005984067916870117,36,85,100
10,0.005984067916870117,34,72,100
11,0.005984067916870117,29,65,100
12,0.005984067916870117,1,997,100
0,5.013894557952881,4,27,60
1,5.013894557952881,6,36,60
2,5.013894557952881,17,60,60
3,5.013894557952881,23,87,100
4,5.013894557952881,34,52,100
5,5.013894557952881,14,34,50
6,5.013894557952881,28,94,100
7,5.013894557952881,11,51,50
8,5.013894557952881,10,43,60
9,5.013894557952881,14,48,60
10,5.013894557952881,11,40,60
11,5.013894557952881,4,19,36
12,5.013894557952881,0,360,36
0,10.025138854980469,1,24,60
1,10.025138854980469,2,45,60
2,10.025138854980469,15,66,60
3,10.025138854980469,19,90,100
4,10.025138854980469,38,43,100
5,10.025138854980469,17,28,50
6,10.025138854980469,30,91,100
7,10.025138854980469,7,55,50
8,10.025138854980469,13,45,60
9,10.025138854980469,17,55,60
10,10.025138854980469,13,48,60
11,10.025138854980469,3,14,36
12,10.025138854980469,1,365,36
0,15.03082013130188,1,16,60
1,15.03082013130188,2,43,60
2,15.03082013130188,19,76,60
3,15.03082013130188,19,96,100
4,15.03082013130188,34,50,100
5,15.03082013130188,15,19,50
6,15.03082013130188,26,97,100
7,15.03082013130188,2,61,50
8,15.03082013130188,8,41,60
9,15.03082013130188,22,57,60
10,15.03082013130188,14,50,60
11,15.03082013130188,2,9,36
12,15.03082013130188,1,373,36
0,20.03808283805847,1,17,60
1,20.03808283805847,1,35,60
2,20.03808283805847,14,75,60
3,20.03808283805847,17,95,100
4,20.03808283805847,32,50,100
5,20.03808283805847,16,18,50
6,20.03808283805847,23,107,100
7,20.03808283805847,1,63,50
8,20.03808283805847,7,43,60
9,20.03808283805847,22,56,60
10,20.03808283805847,16,60,60
11,20.03808283805847,2,4,36
12,20.03808283805847,1,363,36
0,25.058984518051147,2,20,60
1,25.058984518051147,1,26,60
2,25.058984518051147,19,70,60
3,25.058984518051147,16,92,100
4,25.058984518051147,34,47,100
5,25.058984518051147,19,23,50
6,25.058984518051147,24,107,100
7,25.058984518051147,3,65,50
8,25.058984518051147,11,48,60
9,25.058984518051147,22,56,60
10,25.058984518051147,18,56,60
11,25.058984518051147,2,8,36
12,25.059030771255493,1,366,36
0,30.065120458602905,1,15,60
1,30.065120458602905,1,36,60
2,30.065120458602905,22,80,60
3,30.065120458602905,18,87,100
4,30.065120458602905,39,51,100
5,30.065120458602905,22,26,50
6,30.065120458602905,23,114,100
7,30.065120458602905,6,59,50
8,30.065120458602905,6,41,60
9,30.065120458602905,24,65,60
10,30.065120458602905,23,64,60
11,30.065120458602905,1,7,36
12,30.065120458602905,2,374,36
0,35.079256534576416,5,13,60
1,35.079256534576416,1,35,60
2,35.079256534576416,20,84,60
3,35.079256534576416,23,77,100
4,35.079256534576416,34,48,100
5,35.079256534576416,26,28,50
6,35.079256534576416,23,120,100
7,35.079256534576416,9,61,50
8,35.079256534576416,4,37,60
9,35.079256534576416,25,71,60
10,35.079256534576416,24,70,60
11,35.079256534576416,5,13,36
12,35.079256534576416,1,369,36
0,40.09918189048767,5,12,60
1,40.09918189048767,1,25,60
2,40.09918189048767,23,80,60
3,40.09918189048767,28,80,100
4,40.09918189048767,37,54,100
5,40.09918189048767,22,25,50
6,40.09918189048767,25,121,100
7,40.09918189048767,7,55,50
8,40.09918189048767,9,32,60
9,40.09918189048767,21,67,60
10,40.09918189048767,22,69,60
11,40.09918189048767,4,15,36
12,40.09918189048767,4,372,36
0,45.10301375389099,8,9,60
1,45.10301375389099,1,19,60
2,45.10301375389099,26,88,60
3,45.10301375389099,33,75,100
4,45.10301375389099,38,60,100
5,45.10301375389099,23,23,50
6,45.10301375389099,29,127,100
7,45.10301375389099,7,58,50
8,45.10301375389099,11,41,60
9,45.10301375389099,17,71,60
10,45.10301375389099,26,66,60
11,45.10301375389099,4,14,36
12,45.10301375389099,8,367,36
0,50.11658525466919,8,13,60
1,50.11658525466919,1,10,60
2,50.11658525466919,25,95,60
3,50.11658525466919,36,66,100
4,50.11658525466919,37,70,100
5,50.11658525466919,27,19,50
6,50.11658525466919,33,137,100
7,50.11658525466919,3,64,50
8,50.11658525466919,14,37,60
9,50.11658525466919,17,77,60
10,50.11658525466919,26,66,60
11,50.11658525466919,2,10,36
12,50.11658525466919,8,357,36
0,55.1320321559906,12,15,60
1,55.1320321559906,1,19,60
2,55.1320321559906,20,99,60
3,55.1320321559906,40,64,100
4,55.1320321559906,33,68,100
5,55.1320321559906,28,17,50
6,55.1320321559906,29,144,100
7,55.1320321559906,5,56,50
8,55.1320321559906,13,38,60
9,55.1320321559906,18,70,60
10,55.1320321559906,25,64,60
11,55.1320321559906,5,5,36
12,55.1320321559906,7,353,36
0,60.14112949371338,7,25,60
1,60.14112949371338,1,22,60
2,60.14112949371338,22,92,60
3,60.14112949371338,41,61,100
4,60.14112949371338,33,66,100
5,60.14112949371338,26,7,50
6,60.14112949371338,27,142,100
7,60.14112949371338,5,55,50
8,60.14112949371338,18,41,60
9,60.14112949371338,19,72,60
10,60.14112949371338,28,71,60
11,60.14112949371338,9,1,36
12,60.14112949371338,7,359,36
0,65.15008401870728,9,32,60
1,65.15008401870728,3,15,60
2,65.15008401870728,25,98,60
3,65.15008401870728,46,51,100
4,65.15008401870728,37,76,100
5,65.15008401870728,29,3,50
6,65.15008401870728,32,148,100
7,65.15008401870728,8,51,50
8,65.15008401870728,23,49,60
9,65.15108919143677,16,81,60
10,65.15108919143677,32,65,60
11,65.15108919143677,6,1,36
12,65.15108919143677,7,355,36
0,70.16352224349976,8,23,60
1,70.16352224349976,7,25,60
2,70.16352224349976,21,88,60
3,70.16352224349976,41,57,100
4,70.16352224349976,40,67,100
5,70.16352224349976,28,6,50
6,70.16352224349976,29,149,100
7,70.16352224349976,9,50,50
8,70.16352224349976,23,57,60
9,70.16352224349976,21,78,60
10,70.16352224349976,33,70,60
11,70.16352224349976,8,1,36
12,70.16352224349976,4,358,36
0,75.16817450523376,11,16,60
1,75.16817450523376,5,33,60
2,75.16817450523376,19,88,60
3,75.16817450523376,43,66,100
4,75.16817450523376,42,64,100
5,75.16817450523376,30,11,50
6,75.16817450523376,28,139,100
7,75.16817450523376,14,41,50
8,75.16817450523376,19,55,60
9,75.16817450523376,25,83,60
10,75.16817450523376,28,62,60
11,75.16817450523376,9,5,36
12,75.16817450523376,1,368,36
0,80.18199062347412,12,26,60
1,80.18302273750305,6,34,60
2,80.18302273750305,17,81,60
3,80.18302273750305,43,66,100
4,80.18302273750305,41,73,100
5,80.18302273750305,34,7,50
6,80.18302273750305,24,146,100
7,80.18302273750305,11,31,50
8,80.18302273750305,16,56,60
9,80.18302273750305,20,82,60
10,80.18302273750305,31,53,60
11,80.18302273750305,8,6,36
12,80.18302273750305,1,371,36
0,85.19462990760803,12,28,60
1,85.19462990760803,8,39,60
2,85.19462990760803,17,84,60
3,85.19462990760803,40,74,100
4,85.19462990760803,40,69,100
5,85.19462990760803,33,12,50
6,85.19462990760803,24,140,100
7,85.19462990760803,7,35,50
8,85.19462990760803,15,46,60
9,85.19462990760803,15,86,60
10,85.19462990760803,29,51,60
11,85.19462990760803,9,1,36
12,85.19462990760803,1,380,36
0,90.20548224449158,14,28,60
1,90.20548224449158,7,46,60
2,90.20548224449158,15,82,60
3,90.20548224449158,40,74,100
4,90.20548224449158,41,77,100
5,90.20548224449158,31,18,50
6,90.20548224449158,23,142,100
7,90.20548224449158,7,36,50
8,90.20548224449158,17,43,60
9,90.20548224449158,20,82,60
10,90.20548224449158,34,47,60
11,90.20548224449158,10,1,36
12,90.20548224449158,1,376,36
0,95.21734261512756,14,20,60
1,95.21734261512756,6,39,60
2,95.21734261512756,18,73,60
3,95.21734261512756,35,68,100
4,95.21734261512756,39,85,100
5,95.21734261512756,27,11,50
6,95.21734261512756,22,145,100
7,95.21734261512756,2,41,50
8,95.21734261512756,21,41,60
9,95.21734261512756,22,83,60
10,95.21734261512756,30,44,60
11,95.21734261512756,5,1,36
12,95.21734261512756,2,371,36
0,100.22616863250732,18,13,60
1,100.22616863250732,10,47,60
2,100.22616863250732,14,79,60
3,100.22616863250732,34,74,100
4,100.22616863250732,44,91,100
5,100.22616863250732,23,1,50
6,100.22616863250732,17,140,100
7,100.22616863250732,1,35,50
8,100.22616863250732,18,37,60
9,100.22616863250732,26,86,60
10,100.22616863250732,34,48,60
11,100.22616863250732,8,5,36
12,100.22616863250732,1,369,36
0,105.2347481250763,17,12,60
1,105.2347481250763,6,49,60
2,105.2347481250763,19,79,60
3,105.2347481250763,38,69,100
4,105.2347481250763,43,89,100
5,105.2347481250763,26,2,50
6,105.2347481250763,13,148,100
7,105.2347481250763,1,30,50
8,105.2347481250763,19,38,60
9,105.2347481250763,30,91,60
10,105.2347481250763,33,43,60
11,105.2347481250763,10,5,36
12,105.2347481250763,1,367,36
0,110.25451946258545,19,13,60
1,110.25451946258545,7,58,60
2,110.25451946258545,18,81,60
3,110.25451946258545,33,65,100
4,110.25451946258545,39,94,100
5,110.25451946258545,22,1,50
6,110.25451946258545,18,154,100
7,110.25451946258545,1,29,50
8,110.25451946258545,18,37,60
9,110.25451946258545,30,97,60
10,110.25451946258545,28,38,60
11,110.25451946258545,15,2,36
12,110.25451946258545,1,367,36
0,115.26704668998718,20,14,60
1,115.26704668998718,7,65,60
2,115.26704668998718,14,85,60
3,115.26704668998718,29,57,100
4,115.26704668998718,37,97,100
5,115.26704668998718,27,5,50
6,115.26704668998718,19,147,100
7,115.26704668998718,3,34,50
8,115.26704668998718,23,38,60
9,115.26704668998718,35,106,60
10,115.26704668998718,31,45,60
11,115.26704668998718,11,1,36
12,115.26704668998718,1,373,36
