Node,Time,Latency,Throughput,Battery
0,0.001992464065551758,13,108,100
1,0.001992464065551758,51,34,100
2,0.001992464065551758,15,96,100
3,0.001992464065551758,29,83,100
4,0.001992464065551758,14,117,100
5,0.001992464065551758,43,81,100
6,0.001992464065551758,20,71,100
7,0.001992464065551758,24,37,100
8,0.001992464065551758,42,108,100
9,0.001992464065551758,5,118,100
10,0.001992464065551758,27,67,100
11,0.001992464065551758,15,43,100
0,5.00954270362854,1104,63,60
1,5.00954270362854,5220,19,60
2,5.00954270362854,17,90,100
3,5.00954270362854,33,79,100
4,5.00954270362854,9,114,100
5,5.00954270362854,4522,36,50
6,5.00954270362854,1606,40,60
7,5.00954270362854,2311,14,50
8,5.00954270362854,4317,66,60
9,5.00954270362854,5,113,100
10,5.00954270362854,3012,40,60
11,5.00954270362854,15,52,100
0,10.025619745254517,1103,67,60
1,10.025619745254517,5222,24,60
2,10.025619745254517,16,83,100
3,10.025619745254517,38,69,100
4,10.025619745254517,7,123,100
5,10.025619745254517,4519,41,50
6,10.025619745254517,1608,48,60
7,10.025619745254517,2314,24,50
8,10.025619745254517,4312,67,60
9,10.025619745254517,6,107,100
10,10.025619745254517,3015,33,60
11,10.025619745254517,18,58,100
0,15.037902355194092,1102,61,60
1,15.037902355194092,5224,32,60
2,15.037902355194092,12,75,100
3,15.037902355194092,43,73,100
4,15.037902355194092,5,123,100
5,15.037902355194092,4517,45,50
6,15.037902355194092,1608,41,60
7,15.037902355194092,2311,31,50
8,15.037902355194092,4317,62,60
9,15.037902355194092,3,98,100
10,15.037902355194092,3020,32,60
11,15.037902355194092,17,58,100
0,20.04167675971985,1100,54,60
1,20.04167675971985,5220,23,60
2,20.04167675971985,12,73,100
3,20.04167675971985,45,67,100
4,20.04167675971985,4,122,100
5,20.04167675971985,4517,44,50
6,20.04167675971985,1605,48,60
7,20.04167675971985,2313,41,50
8,20.04167675971985,4314,56,60
9,20.04167675971985,5,95,100
10,20.04167675971985,3015,42,60
11,20.04167675971985,14,55,100
0,25.055429220199585,1097,46,60
1,25.055429220199585,5225,31,60
2,25.055429220199585,7,64,100
3,25.055429220199585,48,57,100
4,25.055429220199585,1,121,100
5,25.055429220199585,4515,49,50
6,25.055429220199585,1602,56,60
7,25.055429220199585,2312,47,50
8,25.055429220199585,4312,53,60
9,25.055429220199585,10,86,100
10,25.055429220199585,3017,49,60
11,25.055429220199585,17,52,100
0,30.05978274345398,1101,41,60
1,30.05978274345398,5222,34,60
2,30.05978274345398,5,57,100
3,30.05978274345398,49,67,100
4,30.05978274345398,1,122,100
5,30.05978274345398,4515,43,50
6,30.05978274345398,1597,48,60
7,30.05978274345398,2313,51,50
8,30.05978274345398,4317,43,60
9,30.05978274345398,7,89,100
10,30.05978274345398,3016,41,60
11,30.05978274345398,20,52,100
0,35.07833981513977,1096,43,60
1,35.07833981513977,5220,41,60
2,35.07833981513977,9,51,100
3,35.07833981513977,44,65,100
4,35.07833981513977,1,123,100
5,35.07833981513977,4516,33,50
6,35.07833981513977,1593,38,60
7,35.07833981513977,2317,49,50
8,35.07833981513977,4314,46,60
9,35.07833981513977,10,96,100
10,35.07833981513977,3014,48,60
11,35.07833981513977,23,55,100
0,40.08597922325134,1093,50,60
1,40.08597922325134,5224,38,60
2,40.08597922325134,10,48,100
3,40.08597922325134,42,68,100
4,40.08597922325134,1,129,100
5,40.08597922325134,4513,26,50
6,40.08597922325134,1592,48,60
7,40.08597922325134,2313,41,50
8,40.08597922325134,4316,52,60
9,40.08597922325134,8,96,100
10,40.08597922325134,3011,53,60
11,40.08597922325134,21,65,100
0,45.10517191886902,1093,52,60
1,45.10517191886902,5226,40,60
2,45.10517191886902,5,53,100
3,45.10517191886902,37,59,100
4,45.10517191886902,1,125,100
5,45.10517191886902,4511,23,50
6,45.10517191886902,1596,55,60
7,45.10517191886902,2311,46,50
8,45.10517191886902,4319,49,60
9,45.10517191886902,10,104,100
10,45.10517191886902,3011,57,60
11,45.10517191886902,18,67,100
0,50.11630988121033,1090,55,60
1,50.11630988121033,5221,39,60
2,50.11630988121033,8,62,100
3,50.11630988121033,38,60,100
4,50.11630988121033,1,131,100
5,50.11630988121033,4506,32,50
6,50.11630988121033,1596,54,60
7,50.11630988121033,2306,45,50
8,50.11630988121033,4320,40,60
9,50.11630988121033,11,94,100
10,50.11630988121033,3015,51,60
11,50.11630988121033,23,58,100
0,55.13187837600708,1094,63,60
1,55.13187837600708,5226,39,60
2,55.13187837600708,8,69,100
3,55.13187837600708,36,51,100
4,55.13187837600708,1,130,100
5,55.13187837600708,4509,23,50
6,55.13187837600708,1596,63,60
7,55.13187837600708,2303,50,50
8,55.13187837600708,4318,44,60
9,55.13187837600708,13,93,100
10,55.13187837600708,3011,58,60
11,55.13187837600708,20,59,100
