Node,Time,Latency,Throughput,Battery
0,0.0019936561584472656,42,49,100
1,0.0019936561584472656,38,73,100
2,0.0019936561584472656,22,67,100
3,0.0019936561584472656,8,69,100
4,0.0019936561584472656,13,90,100
5,0.0019936561584472656,18,58,100
6,0.0019936561584472656,18,67,100
7,0.0019936561584472656,48,71,100
8,0.0019936561584472656,24,97,100
9,0.0019936561584472656,22,68,100
10,0.0019936561584472656,29,58,100
11,0.0019936561584472656,19,59,100
0,5.010516166687012,3815,28,60
1,5.010516166687012,3313,45,60
2,5.010516166687012,2710,39,60
3,5.010516166687012,1104,40,60
4,5.010516166687012,16,85,100
5,5.010516166687012,1909,26,50
6,5.010516166687012,19,58,100
7,5.010516166687012,5326,34,50
8,5.010516166687012,21,94,100
9,5.010516166687012,2409,43,60
10,5.010516166687012,292264,22,36
11,5.010516166687012,16,56,100
0,10.028732776641846,3814,33,60
1,10.028732776641846,3309,44,60
2,10.028732776641846,2714,43,60
3,10.028732776641846,1108,49,60
4,10.028732776641846,13,86,100
5,10.028732776641846,1913,31,50
6,10.028732776641846,15,48,100
7,10.028732776641846,5326,35,50
8,10.028732776641846,21,84,100
9,10.028732776641846,2405,39,60
10,10.028732776641846,292260,20,36
11,10.028732776641846,17,62,100
0,15.038982152938843,3813,39,60
1,15.038982152938843,3311,54,60
2,15.038982152938843,2712,41,60
3,15.038982152938843,1110,50,60
4,15.038982152938843,13,92,100
5,15.038982152938843,1916,28,50
6,15.038982152938843,17,53,100
7,15.038982152938843,5328,38,50
8,15.038982152938843,19,83,100
9,15.038982152938843,2408,34,60
10,15.038982152938843,292262,17,36
11,15.038982152938843,22,53,100
0,20.048707485198975,3810,44,60
1,20.048707485198975,3313,58,60
2,20.048707485198975,2711,33,60
3,20.048707485198975,1106,50,60
4,20.048707485198975,16,99,100
5,20.048707485198975,1915,31,50
6,20.048707485198975,16,47,100
7,20.048707485198975,5328,31,50
8,20.048707485198975,23,82,100
9,20.048707485198975,2411,32,60
10,20.048707485198975,292260,22,36
11,20.048707485198975,18,60,100
0,25.06417465209961,3814,36,60
1,25.06417465209961,3308,56,60
2,25.06417465209961,2710,36,60
3,25.06417465209961,1101,47,60
4,25.06417465209961,16,96,100
5,25.06417465209961,1916,24,50
6,25.06417465209961,11,52,100
7,25.06417465209961,5327,41,50
8,25.06417465209961,20,80,100
9,25.06417465209961,2406,40,60
10,25.06417465209961,292262,24,36
11,25.06417465209961,18,59,100
0,30.070045709609985,3811,35,60
1,30.070045709609985,3312,57,60
2,30.070045709609985,2708,44,60
3,30.070045709609985,1098,49,60
4,30.070045709609985,13,89,100
5,30.070045709609985,1921,34,50
6,30.070045709609985,12,43,100
7,30.070045709609985,5327,43,50
8,30.070045709609985,24,78,100
9,30.070045709609985,2410,38,60
10,30.070045709609985,292261,16,36
11,30.070045709609985,21,67,100
0,35.084686517715454,3813,39,60
1,35.084686517715454,3309,62,60
2,35.084686517715454,2703,54,60
3,35.084686517715454,1097,55,60
4,35.084686517715454,15,79,100
5,35.084686517715454,1919,40,50
6,35.084686517715454,7,47,100
7,35.084686517715454,5324,40,50
8,35.084686517715454,27,68,100
9,35.084686517715454,2409,30,60
10,35.084686517715454,292263,23,36
11,35.084686517715454,25,76,100
0,40.09829521179199,3810,42,60
1,40.09829521179199,3306,56,60
2,40.09829521179199,2708,44,60
3,40.09829521179199,1094,50,60
4,40.09829521179199,15,86,100
5,40.09829521179199,1920,41,50
6,40.09829521179199,6,50,100
7,40.09829521179199,5322,38,50
8,40.09829521179199,31,70,100
9,40.09829521179199,2406,38,60
10,40.09829521179199,292261,18,36
11,40.09829521179199,24,76,100
0,45.10458827018738,3806,50,60
1,45.10458827018738,3301,50,60
2,45.10458827018738,2710,52,60
3,45.10458827018738,1099,58,60
4,45.10458827018738,13,79,100
5,45.10458827018738,1920,31,50
6,45.10458827018738,3,52,100
7,45.10458827018738,5318,36,50
8,45.10458827018738,26,75,100
9,45.10458827018738,2410,45,60
10,45.10458827018738,292260,15,36
11,45.10458827018738,27,66,100
0,50.110987424850464,3802,53,60
1,50.110987424850464,3296,56,60
2,50.110987424850464,2715,48,60
3,50.110987424850464,1103,67,60
4,50.110987424850464,9,79,100
5,50.110987424850464,1924,30,50
6,50.110987424850464,2,56,100
7,50.110987424850464,5320,43,50
8,50.110987424850464,27,65,100
9,50.110987424850464,2409,50,60
10,50.110987424850464,292255,21,36
11,50.110987424850464,22,59,100
0,55.11766290664673,3800,44,60
1,55.11766290664673,3294,63,60
2,55.11766290664673,2714,44,60
3,55.11766290664673,1107,69,60
4,55.11766290664673,14,85,100
5,55.11766290664673,1926,26,50
6,55.11766290664673,2,63,100
7,55.11766290664673,5321,45,50
8,55.11766290664673,23,73,100
9,55.11766290664673,2410,57,60
10,55.11766290664673,292254,17,36
11,55.11766290664673,21,61,100
