Node,Time,Latency,Throughput,Battery
0,0.002004861831665039,35,98,100
1,0.002004861831665039,38,83,100
2,0.002004861831665039,56,67,100
3,0.002004861831665039,40,56,100
4,0.002004861831665039,25,88,100
5,0.002004861831665039,66,131,100
6,0.002004861831665039,53,25,100
7,0.002004861831665039,14,29,100
8,0.002004861831665039,33,44,100
9,0.002004861831665039,27,107,100
10,0.002004861831665039,13,57,100
11,0.002004861831665039,24,38,100
12,0.002004861831665039,1,1007,100
0,5.0158607959747314,39,92,100
1,5.0158607959747314,37,93,100
2,5.0158607959747314,6024,42,60
3,5.0158607959747314,35,60,100
4,5.0158607959747314,30,87,100
5,5.0158607959747314,6130,68,50
6,5.0158607959747314,53,30,100
7,5.0158607959747314,1608,15,50
8,5.0158607959747314,33,38,100
9,5.0158607959747314,2510,70,60
10,5.0158607959747314,18,55,100
11,5.0158607959747314,221683,12,36
12,5.0158607959747314,60440,360,36
0,10.031179904937744,39,97,100
1,10.031179904937744,34,92,100
2,10.031179904937744,6020,43,60
3,10.031179904937744,31,58,100
4,10.031179904937744,32,93,100
5,10.031179904937744,6125,70,50
6,10.031179904937744,57,40,100
7,10.031179904937744,1612,6,50
8,10.031179904937744,32,47,100
9,10.031179904937744,2506,61,60
10,10.031179904937744,21,62,100
11,10.031179904937744,221682,3,36
12,10.031179904937744,60442,365,36
0,15.046132802963257,39,93,100
1,15.046132802963257,38,96,100
2,15.046132802963257,6017,43,60
3,15.046132802963257,33,68,100
4,15.046132802963257,30,98,100
5,15.046132802963257,6129,63,50
6,15.046132802963257,52,48,100
7,15.046132802963257,1616,5,50
8,15.046132802963257,32,55,100
9,15.046132802963257,2509,58,60
10,15.046132802963257,26,57,100
11,15.046132802963257,221687,1,36
12,15.046132802963257,60446,355,36
0,20.058852910995483,39,92,100
1,20.058852910995483,33,98,100
2,20.058852910995483,6022,48,60
3,20.058852910995483,34,73,100
4,20.058852910995483,35,93,100
5,20.058852910995483,6131,65,50
6,20.058852910995483,55,45,100
7,20.058852910995483,1616,1,50
8,20.058852910995483,27,48,100
9,20.058852910995483,2513,62,60
10,20.058852910995483,23,62,100
11,20.058852910995483,221682,1,36
12,20.058852910995483,60447,359,36
0,25.064667463302612,36,87,100
1,25.064667463302612,30,104,100
2,25.064667463302612,6021,44,60
3,25.064667463302612,37,68,100
4,25.064667463302612,31,86,100
5,25.064667463302612,6133,65,50
6,25.064667463302612,60,38,100
7,25.064667463302612,1616,9,50
8,25.064667463302612,22,46,100
9,25.064667463302612,2511,68,60
10,25.064667463302612,22,71,100
11,25.064667463302612,221685,4,36
12,25.064667463302612,60450,356,36
0,30.076656341552734,33,81,100
1,30.076656341552734,33,103,100
2,30.076656341552734,6017,35,60
3,30.076656341552734,35,60,100
4,30.076656341552734,32,96,100
5,30.076656341552734,6129,67,50
6,30.076656341552734,64,48,100
7,30.076656341552734,1612,19,50
8,30.076656341552734,22,41,100
9,30.076656341552734,2509,59,60
10,30.076656341552734,25,64,100
11,30.076656341552734,221681,2,36
12,30.076656341552734,60453,365,36
0,35.09227967262268,34,71,100
1,35.09227967262268,36,96,100
2,35.09227967262268,6015,35,60
3,35.09227967262268,34,57,100
4,35.09227967262268,33,96,100
5,35.09227967262268,6128,68,50
6,35.09227967262268,66,56,100
7,35.09227967262268,1611,10,50
8,35.09227967262268,17,50,100
9,35.09227967262268,2510,66,60
10,35.09227967262268,25,57,100
11,35.09227967262268,221684,1,36
12,35.09227967262268,60457,374,36
0,40.105851888656616,39,78,100
1,40.105851888656616,37,93,100
2,40.105851888656616,6010,34,60
3,40.105851888656616,36,49,100
4,40.105851888656616,38,102,100
5,40.105851888656616,6130,60,50
6,40.105851888656616,63,64,100
7,40.105851888656616,1612,12,50
8,40.105851888656616,18,46,100
9,40.105851888656616,2512,69,60
10,40.105851888656616,27,65,100
11,40.105851888656616,221689,10,36
12,40.105851888656616,60461,380,36
0,45.11727023124695,43,82,100
1,45.11727023124695,40,96,100
2,45.11727023124695,6013,42,60
3,45.11727023124695,37,40,100
4,45.11727023124695,37,98,100
5,45.11727023124695,6132,54,50
6,45.11727023124695,64,61,100
7,45.11727023124695,1612,9,50
8,45.11727023124695,18,55,100
9,45.11727023124695,2507,71,60
10,45.11727023124695,28,59,100
11,45.11727023124695,221687,16,36
12,45.11727023124695,60465,388,36
0,50.13472557067871,42,79,100
