Node,Time,Latency,Throughput,Battery
0,0.0018930435180664062,38234711,9,21
1,0.0018930435180664062,330403,45,36
2,0.0018930435180664062,27398464,5,21
3,0.0018930435180664062,110532,62,36
4,0.0018930435180664062,1304,74,60
5,0.0018930435180664062,19414213,1,12
6,0.0018930435180664062,7,60,100
7,0.0018930435180664062,53754841,23,12
8,0.0018930435180664062,32,72,100
9,0.0018930435180664062,2419,7,60
10,0.0018930435180664062,295772054810,48,7
11,0.0018930435180664062,28,88,100
0,5.005983591079712,38234711,3,21
1,5.005983591079712,330406,55,36
2,5.005983591079712,27398462,6,21
3,5.005983591079712,1114220525,25,12
4,5.005983591079712,1299,65,60
5,5.005983591079712,1951128808,3,6
6,5.005983591079712,3,57,100
7,5.005983591079712,5402361219,10,6
8,5.005983591079712,37,82,100
9,5.005983591079712,2415,10,60
10,5.005983591079712,2981429636023610,15,2
11,5.005983591079712,32,78,100
0,10.010663986206055,38234714,13,21
1,10.010663986206055,330409,62,36
2,10.010663986206055,27398457,9,21
3,10.010663986206055,1114220526,18,12
4,10.010663986206055,1301,65,60
5,10.010663986206055,1951128811,1,6
6,10.010663986206055,6,47,100
7,10.010663986206055,5402361216,4,6
8,10.010663986206055,42,85,100
9,10.010663986206055,2412,5,60
10,10.010663986206055,2981429636023610,19,2
11,10.010663986206055,29,77,100
0,15.01912522315979,38234709,21,21
1,15.01912522315979,330406,60,36
2,15.01912522315979,27398460,14,21
3,15.01912522315979,1114220523,11,12
4,15.01912522315979,1296,58,60
5,15.01912522315979,1951128807,2,6
6,15.01912522315979,8,44,100
7,15.01912522315979,5402361214,11,6
8,15.01912522315979,44,95,100
9,15.01912522315979,2414,1,60
10,15.01912522315979,2981429636023605,15,2
11,15.01912522315979,26,68,100
0,20.02672004699707,38234704,14,21
1,20.02672004699707,330401,69,36
2,20.02672004699707,27398456,7,21
3,20.02672004699707,1114220521,2,12
4,20.02672004699707,1298,64,60
5,20.02672004699707,1951128807,1,6
6,20.02672004699707,13,50,100
7,20.02672004699707,5402361216,4,6
8,20.02672004699707,43,101,100
9,20.02672004699707,2416,8,60
10,20.02672004699707,2981429636023604,25,2
11,20.02672004699707,27,71,100
0,25.031092405319214,38234701,13,21
1,25.031092405319214,330399,64,36
2,25.031092405319214,27398455,3,21
3,25.031092405319214,1114220520,1,12
4,25.031092405319214,1302,73,60
5,25.031092405319214,1951128804,1,6
6,25.031092405319214,16,50,100
7,25.031092405319214,5402361220,1,6
8,25.031092405319214,39,104,100
9,25.031092405319214,2418,5,60
10,25.031092405319214,2981429636023608,17,2
11,25.031092405319214,30,68,100
0,30.038658618927002,38234701,8,21
1,30.038658618927002,330397,54,36
2,30.038658618927002,27398457,1,21
3,30.038658618927002,1114220522,1,12
4,30.038658618927002,1297,71,60
5,30.038658618927002,1951128806,11,6
6,30.038658618927002,15,47,100
7,30.038658618927002,5402361225,9,6
8,30.038658618927002,39,98,100
9,30.038658618927002,2415,9,60
10,30.038658618927002,2981429636023610,22,2
11,30.038658618927002,32,73,100
0,35.05167531967163,38234698,7,21
1,35.05167531967163,330398,57,36
2,35.05167531967163,27398460,1,21
3,35.05167531967163,1114220525,8,12
4,35.05167531967163,1294,73,60
5,35.05167531967163,1951128810,2,6
6,35.05167531967163,13,47,100
7,35.05167531967163,5402361223,7,6
8,35.05167531967163,36,105,100
9,35.05167531967163,2414,9,60
10,35.05167531967163,2981429636023606,18,2
11,35.05167531967163,32,69,100
0,40.065767765045166,38234701,11,21
1,40.065767765045166,330393,64,36
2,40.065767765045166,27398456,1,21
3,40.065767765045166,1114220525,2,12
4,40.065767765045166,1298,82,60
5,40.065767765045166,1951128807,3,6
6,40.065767765045166,11,54,100
7,40.065767765045166,5402361218,2,6
8,40.065767765045166,38,95,100
9,40.065767765045166,2419,5,60
10,40.065767765045166,2981429636023608,9,2
11,40.065767765045166,34,60,100
0,45.07531189918518,38234700,7,21
1,45.07531189918518,330395,55,36
2,45.07531189918518,27398459,1,21
3,45.07531189918518,1114220529,9,12
4,45.07531189918518,1298,87,60
5,45.07531189918518,1951128806,1,6
6,45.07531189918518,10,64,100
7,45.07531189918518,5402361213,11,6
8,45.07531189918518,33,102,100
9,45.07531189918518,2423,7,60
10,45.07531189918518,2981429636023609,11,2
11,45.07531189918518,35,57,100
0,50.08462047576904,38234699,1,21
1,50.08462047576904,330392,47,36
2,50.08462047576904,27398456,11,21
3,50.08462047576904,1114220532,15,12
4,50.08462047576904,1302,80,60
5,50.08462047576904,1951128810,8,6
6,50.08462047576904,12,59,100
7,50.08462047576904,5402361209,4,6
8,50.08462047576904,33,101,100
9,50.08462047576904,2419,10,60
10,50.08462047576904,2981429636023607,1,2
11,50.08462047576904,32,53,100
0,55.099424839019775,38234700,2,21
1,55.099424839019775,330389,50,36
2,55.099424839019775,27398453,19,21
3,55.099424839019775,1114220535,5,12
4,55.099424839019775,1305,75,60
5,55.099424839019775,1951128809,13,6
6,55.099424839019775,15,56,100
7,55.099424839019775,5402361209,1,6
8,55.099424839019775,29,94,100
9,55.099424839019775,2419,4,60
10,55.099424839019775,2981429636023610,1,2
11,55.099424839019775,28,52,100
