Node,Time,Latency,Throughput,Battery
0,0.0009906291961669922,3798,43,60
1,0.0009906291961669922,3289,61,60
2,0.0009906291961669922,2718,44,60
3,0.0009906291961669922,1104,63,60
4,0.0009906291961669922,16,84,100
5,0.0009906291961669922,1922,18,50
6,0.0009906291961669922,2,60,100
7,0.0009906291961669922,5323,46,50
8,0.0009906291961669922,24,72,100
9,0.0009906291961669922,2409,62,60
10,0.0009906291961669922,292251,17,36
11,0.0009906291961669922,24,69,100
0,5.010706663131714,380817,24,36
1,5.010706663131714,330416,36,36
2,5.010706663131714,272887,22,36
3,5.010706663131714,110540,36,36
4,5.010706663131714,1305,45,60
5,5.010706663131714,193161,12,25
6,5.010706663131714,3,69,100
7,5.010706663131714,534861,24,25
8,5.010706663131714,24,72,100
9,5.010706663131714,2409,65,60
10,5.010706663131714,2945936800,9,12
11,5.010706663131714,27,76,100
0,10.022468090057373,380822,32,36
1,10.022468090057373,330413,44,36
2,10.022468090057373,272891,15,36
3,10.022468090057373,110542,41,36
4,10.022468090057373,1301,36,60
5,10.022468090057373,193156,5,25
6,10.022468090057373,6,70,100
7,10.022468090057373,534857,16,25
8,10.022468090057373,22,80,100
9,10.022468090057373,2414,72,60
10,10.022468090057373,2945936805,1,12
11,10.022468090057373,27,79,100
0,15.039238929748535,380820,28,36
1,15.039238929748535,330412,44,36
2,15.039238929748535,272891,12,36
3,15.039238929748535,110545,31,36
4,15.039238929748535,1305,33,60
5,15.039238929748535,193155,7,25
6,15.039238929748535,11,78,100
7,15.039238929748535,534856,14,25
8,15.039518594741821,18,76,100
9,15.039518594741821,2409,77,60
10,15.039518594741821,2945936803,9,12
11,15.039518594741821,22,78,100
0,20.057589769363403,380820,30,36
1,20.057589769363403,330414,39,36
2,20.057589769363403,272894,17,36
3,20.057589769363403,110547,40,36
4,20.057589769363403,1303,34,60
5,20.057589769363403,193158,13,25
6,20.057589769363403,14,71,100
7,20.057589769363403,534861,20,25
8,20.057589769363403,18,72,100
9,20.057589769363403,2408,67,60
10,20.057589769363403,2945936805,9,12
11,20.057589769363403,20,81,100
0,25.06105923652649,380818,26,36
1,25.06105923652649,330416,38,36
2,25.06105923652649,272891,27,36
3,25.06105923652649,110543,37,36
4,25.06105923652649,1306,37,60
5,25.06105923652649,193160,3,25
6,25.06105923652649,9,74,100
7,25.06105923652649,534864,30,25
8,25.06105923652649,16,75,100
9,25.06105923652649,2404,62,60
10,25.06105923652649,2945936803,15,12
11,25.06105923652649,19,84,100
0,30.073582887649536,380814,23,36
1,30.073582887649536,330417,36,36
2,30.073582887649536,272889,29,36
3,30.073582887649536,110540,35,36
4,30.073582887649536,1309,46,60
5,30.073582887649536,193155,3,25
6,30.073582887649536,4,79,100
7,30.073582887649536,534864,38,25
8,30.073582887649536,21,73,100
9,30.073582887649536,2404,57,60
10,30.073582887649536,2945936799,13,12
11,30.073582887649536,14,75,100
0,35.093151569366455,380815,23,36
1,35.093151569366455,330421,46,36
2,35.093151569366455,272889,32,36
3,35.093151569366455,110541,44,36
4,35.093151569366455,1308,55,60
5,35.093151569366455,193159,1,25
6,35.093151569366455,8,70,100
7,35.093151569366455,534869,42,25
8,35.093151569366455,21,66,100
9,35.093151569366455,2405,54,60
10,35.093151569366455,2945936798,13,12
11,35.093151569366455,13,73,100
0,40.11268424987793,380817,15,36
1,40.11268424987793,330416,45,36
2,40.11268424987793,272892,39,36
3,40.11268424987793,110544,49,36
4,40.11268424987793,1307,54,60
5,40.11268424987793,193159,9,25
6,40.11268424987793,5,64,100
7,40.11268424987793,534871,47,25
8,40.11268424987793,16,69,100
9,40.11268424987793,2410,52,60
10,40.11372637748718,2945936798,23,12
11,40.11372637748718,10,72,100
0,45.131097078323364,380822,24,36
1,45.131097078323364,330414,37,36
2,45.131097078323364,272889,48,36
3,45.131097078323364,110541,54,36
4,45.131097078323364,1308,48,60
5,45.131097078323364,193164,9,25
6,45.131097078323364,10,74,100
7,45.131097078323364,534869,38,25
8,45.131097078323364,15,63,100
9,45.131097078323364,2408,43,60
10,45.131097078323364,2945936800,21,12
11,45.131097078323364,10,63,100
0,50.147958755493164,380821,22,36
1,50.147958755493164,330419,40,36
2,50.147958755493164,272887,50,36
3,50.147958755493164,110537,48,36
4,50.147958755493164,1305,43,60
5,50.147958755493164,193166,13,25
6,50.147958755493164,5,82,100
7,50.147958755493164,534866,44,25
8,50.147958755493164,10,71,100
9,50.147958755493164,2409,49,60
10,50.147958755493164,2945936804,18,12
11,50.147958755493164,13,70,100
0,55.15583086013794,380817,30,36
1,55.15583086013794,330421,39,36
2,55.15583086013794,272887,49,36
3,55.15583086013794,110539,54,36
4,55.15583086013794,1308,50,60
5,55.15583086013794,193169,14,25
6,55.15583086013794,3,77,100
7,55.15583086013794,534866,41,25
8,55.15583086013794,11,69,100
9,55.15583086013794,2412,43,60
10,55.15583086013794,2945936803,16,12
11,55.15583086013794,16,65,100
