Node,Time,Latency,Throughput,Battery
0,0.0009989738464355469,38,76,100
1,0.0009989738464355469,44,73,100
2,0.0009989738464355469,9,83,100
3,0.0009989738464355469,22,69,100
4,0.0009989738464355469,25,62,100
5,0.0009989738464355469,16,73,100
6,0.0009989738464355469,43,51,100
7,0.0009989738464355469,32,92,100
8,0.0009989738464355469,12,90,100
9,0.0009989738464355469,28,94,100
10,0.0009989738464355469,28,83,100
11,0.0009989738464355469,31,98,100
12,0.0009989738464355469,1,1007,100
0,5.013108730316162,17,46,60
1,5.013108730316162,47,83,100
2,5.013108730316162,2,45,60
3,5.013108730316162,18,64,100
4,5.013108730316162,26,66,100
5,5.013108730316162,8,36,50
6,5.013108730316162,47,41,100
7,5.013108730316162,14,44,50
8,5.013108730316162,9,98,100
9,5.014115571975708,30,86,100
10,5.014115571975708,27,91,100
11,5.014115571975708,13,61,60
12,5.014115571975708,0,360,36
0,10.031095266342163,14,42,60
1,10.031095266342163,46,86,100
2,10.031095266342163,1,37,60
3,10.031095266342163,20,58,100
4,10.031095266342163,29,61,100
5,10.031095266342163,5,31,50
6,10.031095266342163,50,41,100
7,10.031095266342163,10,43,50
8,10.031095266342163,11,94,100
9,10.031095266342163,31,91,100
10,10.031095266342163,23,83,100
11,10.031095266342163,18,66,60
12,10.031095266342163,1,354,36
0,15.049093246459961,18,43,60
1,15.049093246459961,42,79,100
2,15.049093246459961,1,29,60
3,15.049093246459961,21,67,100
4,15.049093246459961,34,66,100
5,15.049093246459961,4,26,50
6,15.049093246459961,46,37,100
7,15.049093246459961,14,33,50
8,15.049093246459961,11,85,100
9,15.049093246459961,35,97,100
10,15.049093246459961,23,76,100
11,15.049093246459961,19,68,60
12,15.049093246459961,2,360,36
0,20.05585503578186,21,36,60
1,20.05585503578186,46,86,100
2,20.05585503578186,3,30,60
3,20.05585503578186,22,75,100
4,20.05585503578186,31,61,100
5,20.05585503578186,1,33,50
6,20.05585503578186,46,44,100
7,20.05585503578186,12,41,50
8,20.05585503578186,14,83,100
9,20.05585503578186,34,93,100
10,20.05585503578186,23,80,100
11,20.05585503578186,18,66,60
12,20.05585503578186,1,358,36
0,25.069679260253906,16,29,60
1,25.069679260253906,48,76,100
2,25.069679260253906,2,24,60
3,25.069679260253906,18,84,100
4,25.069679260253906,34,52,100
5,25.069679260253906,2,42,50
6,25.069679260253906,48,44,100
7,25.069679260253906,11,49,50
8,25.069679260253906,18,83,100
9,25.069679260253906,34,93,100
10,25.069679260253906,27,85,100
11,25.069679260253906,22,67,60
12,25.069679260253906,5,358,36
0,30.073121786117554,14,38,60
1,30.073121786117554,47,68,100
2,30.073121786117554,4,19,60
3,30.073121786117554,23,90,100
4,30.073121786117554,37,45,100
5,30.073121786117554,5,38,50
6,30.073121786117554,45,41,100
7,30.073121786117554,6,47,50
8,30.073121786117554,20,73,100
9,30.073121786117554,37,94,100
10,30.073121786117554,27,82,100
11,30.073121786117554,22,75,60
12,30.073121786117554,9,356,36
0,35.08520555496216,16,48,60
1,35.08520555496216,51,69,100
2,35.08520555496216,1,20,60
3,35.08520555496216,18,99,100
4,35.08520555496216,36,55,100
5,35.08520555496216,8,30,50
6,35.08520555496216,47,50,100
7,35.08520555496216,11,43,50
8,35.08520555496216,19,80,100
9,35.08520555496216,38,87,100
10,35.08520555496216,31,84,100
11,35.08520555496216,17,83,60
12,35.08520555496216,12,352,36
0,40.0953574180603,20,40,60
1,40.0953574180603,48,64,100
2,40.0953574180603,1,30,60
3,40.0953574180603,23,90,100
4,40.0953574180603,38,47,100
5,40.0953574180603,12,21,50
6,40.0953574180603,49,43,100
7,40.0953574180603,13,48,50
8,40.0953574180603,16,72,100
9,40.0953574180603,42,89,100
10,40.0953574180603,29,77,100
11,40.0953574180603,16,86,60
12,40.0953574180603,14,357,36
0,45.10132169723511,20,38,60
1,45.10132169723511,48,54,100
2,45.10132169723511,5,37,60
3,45.10132169723511,18,97,100
4,45.10132169723511,38,55,100
5,45.10132169723511,7,28,50
6,45.10132169723511,50,50,100
7,45.10132169723511,16,41,50
8,45.10132169723511,16,80,100
9,45.10132169723511,39,95,100
10,45.10132169723511,25,83,100
11,45.10132169723511,19,79,60
12,45.10132169723511,17,348,36
0,50.11275839805603,15,31,60
1,50.11275839805603,50,61,100
2,50.11275839805603,10,32,60
3,50.11275839805603,17,96,100
4,50.11275839805603,40,64,100
5,50.11275839805603,9,32,50
6,50.11275839805603,46,57,100
7,50.11275839805603,18,48,50
8,50.11275839805603,17,88,100
9,50.11275839805603,39,94,100
10,50.11275839805603,27,77,100
11,50.11275839805603,14,70,60
12,50.11275839805603,13,348,36
0,55.12341618537903,20,26,60
1,55.12341618537903,52,54,100
2,55.12341618537903,9,23,60
3,55.12341618537903,20,100,100
4,55.12341618537903,35,73,100
5,55.12341618537903,11,25,50
6,55.12341618537903,42,47,100
7,55.12341618537903,20,50,50
8,55.12341618537903,22,82,100
9,55.12341618537903,37,104,100
10,55.12341618537903,27,72,100
11,55.12341618537903,13,76,60
12,55.12341618537903,18,352,36
0,60.13571524620056,17,20,60
1,60.13571524620056,56,62,100
2,60.13571524620056,12,32,60
3,60.13571524620056,18,102,100
4,60.13571524620056,31,75,100
5,60.13571524620056,6,30,50
6,60.13571524620056,37,47,100
7,60.13571524620056,16,58,50
8,60.13571524620056,26,76,100
9,60.13571524620056,40,109,100
10,60.13571524620056,23,72,100
11,60.13571524620056,15,79,60
12,60.13571524620056,14,344,36
0,65.14967226982117,21,25,60
1,65.14967226982117,53,59,100
2,65.14967226982117,8,32,60
3,65.14967226982117,18,98,100
4,65.14967226982117,32,65,100
5,65.14967226982117,9,22,50
6,65.14967226982117,40,57,100
7,65.14967226982117,14,62,50
8,65.14967226982117,28,82,100
9,65.14967226982117,43,100,100
10,65.14967226982117,28,69,100
11,65.14967226982117,17,82,60
12,65.14967226982117,16,354,36
0,70.15657305717468,19,21,60
1,70.15657305717468,56,65,100
2,70.15657305717468,3,40,60
3,70.15657305717468,16,108,100
4,70.15657305717468,31,72,100
5,70.15657305717468,5,26,50
6,70.15657305717468,39,67,100
7,70.15657305717468,9,60,50
8,70.15657305717468,25,75,100
9,70.15657305717468,43,90,100
10,70.15657305717468,28,66,100
11,70.15657305717468,17,85,60
12,70.15657305717468,18,362,36
0,75.16503548622131,19,16,60
1,75.16503548622131,55,55,100
2,75.16503548622131,1,34,60
3,75.16503548622131,18,106,100
4,75.16503548622131,29,82,100
5,75.16503548622131,6,32,50
6,75.16503548622131,42,74,100
7,75.16503548622131,4,67,50
8,75.16503548622131,24,82,100
9,75.16503548622131,47,86,100
10,75.16503548622131,25,57,100
11,75.16503548622131,17,77,60
12,75.16503548622131,14,359,36
0,80.17111325263977,20,14,60
1,80.17111325263977,55,46,100
2,80.17111325263977,6,38,60
3,80.17111325263977,14,113,100
4,80.17111325263977,31,76,100
5,80.17111325263977,8,29,50
6,80.17111325263977,37,83,100
7,80.17111325263977,1,58,50
8,80.17111325263977,27,75,100
9,80.17111325263977,50,90,100
10,80.17111325263977,24,60,100
11,80.17111325263977,18,75,60
12,80.17111325263977,9,349,36
0,85.1824049949646,16,17,60
1,85.1824049949646,52,37,100
2,85.1824049949646,3,31,60
3,85.1824049949646,10,107,100
4,85.1824049949646,28,70,100
5,85.1824049949646,5,29,50
6,85.1824049949646,35,92,100
7,85.1824049949646,5,50,50
8,85.1824049949646,26,70,100
9,85.1824049949646,53,91,100
10,85.1824049949646,21,52,100
11,85.1824049949646,18,67,60
12,85.1824049949646,7,359,36
0,90.18959999084473,11,9,60
1,90.18959999084473,52,29,100
2,90.18959999084473,1,25,60
